DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,graph(0)->data.size()
Mon.May.02.2022 13:17:32.890,13,5.09808,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,222
Mon.May.02.2022 13:17:32.894,13,5.11285,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,222
Mon.May.02.2022 13:17:32.898,13,5.11285,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,222
Mon.May.02.2022 13:17:32.903,13,5.12849,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,223
Mon.May.02.2022 13:17:32.909,13,5.12849,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,223
Mon.May.02.2022 13:17:32.914,13,5.14506,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,224
Mon.May.02.2022 13:17:32.918,13,5.16239,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,224
Mon.May.02.2022 13:17:32.921,13,5.18021,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,224
Mon.May.02.2022 13:17:32.927,13,5.19873,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,225
Mon.May.02.2022 13:17:32.930,13,5.21802,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,225
Mon.May.02.2022 13:17:32.934,13,5.23787,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,225
Mon.May.02.2022 13:17:33.040,13,5.25835,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,226
Mon.May.02.2022 13:17:33.044,13,5.2795,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,226
Mon.May.02.2022 13:17:33.047,13,5.3012,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,226
Mon.May.02.2022 13:17:33.052,13,5.32343,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,227
Mon.May.02.2022 13:17:33.055,13,5.32343,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,227
Mon.May.02.2022 13:17:33.059,13,5.34607,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,227
Mon.May.02.2022 13:17:33.064,13,5.36913,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,228
Mon.May.02.2022 13:17:33.068,13,5.39258,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,228
Mon.May.02.2022 13:17:33.071,13,5.41638,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,228
Mon.May.02.2022 13:17:33.076,13,5.44047,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,229
Mon.May.02.2022 13:17:33.206,13,5.46481,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,230
Mon.May.02.2022 13:17:33.211,13,5.48936,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,230
Mon.May.02.2022 13:17:33.216,13,5.51413,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,231
Mon.May.02.2022 13:17:33.219,13,5.53893,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,231
Mon.May.02.2022 13:17:33.226,13,5.53893,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,232
Mon.May.02.2022 13:17:33.230,13,5.56365,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,232
Mon.May.02.2022 13:17:33.233,13,5.56365,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,232
Mon.May.02.2022 13:17:33.238,13,5.58859,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,233
Mon.May.02.2022 13:17:33.242,13,5.61342,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,233
Mon.May.02.2022 13:17:33.245,13,5.63815,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,233
Mon.May.02.2022 13:17:33.250,13,5.66281,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,234
Mon.May.02.2022 13:17:33.254,13,5.68728,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,234
Mon.May.02.2022 13:17:33.363,13,5.71143,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,235
Mon.May.02.2022 13:17:33.367,13,5.73529,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,235
Mon.May.02.2022 13:17:33.370,13,5.7588,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,235
Mon.May.02.2022 13:17:33.375,13,5.78192,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,236
Mon.May.02.2022 13:17:33.379,13,5.80458,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,236
Mon.May.02.2022 13:17:33.382,13,5.80458,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,236
Mon.May.02.2022 13:17:33.387,13,5.82663,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,237
Mon.May.02.2022 13:17:33.391,13,5.8482,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,237
Mon.May.02.2022 13:17:33.396,13,5.86918,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,237
Mon.May.02.2022 13:17:33.400,13,5.88952,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,238
Mon.May.02.2022 13:17:33.527,13,5.90917,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,239
Mon.May.02.2022 13:17:33.527,13,5.92809,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,239
Mon.May.02.2022 13:17:33.527,13,5.94624,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,239
Mon.May.02.2022 13:17:33.527,13,5.96356,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,239
Mon.May.02.2022 13:17:33.527,13,5.98001,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,239
Mon.May.02.2022 13:17:33.543,13,5.98001,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,240
Mon.May.02.2022 13:17:33.543,13,5.99551,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,240
Mon.May.02.2022 13:17:33.543,13,5.99551,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,240
Mon.May.02.2022 13:17:33.543,13,6.01006,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,240
Mon.May.02.2022 13:17:33.558,13,6.02366,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,241
Mon.May.02.2022 13:17:33.558,13,6.03623,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,241
Mon.May.02.2022 13:17:33.558,13,6.04769,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,241
Mon.May.02.2022 13:17:33.689,13,6.05805,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,242
Mon.May.02.2022 13:17:33.689,13,6.06726,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,242
Mon.May.02.2022 13:17:33.689,13,6.07531,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,242
Mon.May.02.2022 13:17:33.689,13,6.08214,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,242
Mon.May.02.2022 13:17:33.705,13,6.08774,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,243
Mon.May.02.2022 13:17:33.705,13,6.09206,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,243
Mon.May.02.2022 13:17:33.705,13,6.09206,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,243
Mon.May.02.2022 13:17:33.705,13,6.09509,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,243
Mon.May.02.2022 13:17:33.720,13,6.09679,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,244
Mon.May.02.2022 13:17:33.720,13,6.09714,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,244
Mon.May.02.2022 13:17:33.720,13,6.09612,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,244
Mon.May.02.2022 13:17:33.852,13,6.09371,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,245
Mon.May.02.2022 13:17:33.852,13,6.08989,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,245
Mon.May.02.2022 13:17:33.852,13,6.08463,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,245
Mon.May.02.2022 13:17:33.852,13,6.07793,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,245
Mon.May.02.2022 13:17:33.852,13,6.06978,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,245
Mon.May.02.2022 13:17:33.868,13,6.06978,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,246
Mon.May.02.2022 13:17:33.874,13,6.06007,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,246
Mon.May.02.2022 13:17:33.874,13,6.06007,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,246
Mon.May.02.2022 13:17:33.874,13,6.04872,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,246
Mon.May.02.2022 13:17:33.874,13,6.03577,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,246
Mon.May.02.2022 13:17:33.890,13,6.02125,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,246
Mon.May.02.2022 13:17:33.890,13,6.00516,MCU is reading properly,253,-12,G,1.00 kHz,1.05 Hz,0,247
Mon.May.02.2022 13:17:34.005,13,5.9875,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,248
Mon.May.02.2022 13:17:34.005,13,5.96826,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,248
Mon.May.02.2022 13:17:34.005,13,5.94744,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,248
Mon.May.02.2022 13:17:34.005,13,5.92505,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,248
Mon.May.02.2022 13:17:34.005,13,5.90109,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,248
Mon.May.02.2022 13:17:34.021,13,5.87558,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,249
Mon.May.02.2022 13:17:34.021,13,5.87558,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,249
Mon.May.02.2022 13:17:34.021,13,5.84851,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,249
Mon.May.02.2022 13:17:34.021,13,5.82025,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,249
Mon.May.02.2022 13:17:34.037,13,5.79085,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,250
Mon.May.02.2022 13:17:34.169,13,5.76001,MCU is reading properly,253,-12,G,1.00 kHz,0.99 Hz,0,251
